image_path,mask_path,frame_id,variant,ops_hash
data/train/images/1_20250804_183142_746__hb9776d94.png,data/train/masks/1_20250804_183142_746__hb9776d94.png,1_20250804_183142_746,baseline,b9776d94
data/train/images/1_20250804_183142_746__seed_41__h3a8e1b18.png,data/train/masks/1_20250804_183142_746__seed_41__h3a8e1b18.png,1_20250804_183142_746,seed_41,3a8e1b18
data/train/images/1_20250804_183142_746__seed_42__hd621cb1e.png,data/train/masks/1_20250804_183142_746__seed_42__hd621cb1e.png,1_20250804_183142_746,seed_42,d621cb1e
data/train/images/1_20250804_183142_746__seed_43__h541d42fc.png,data/train/masks/1_20250804_183142_746__seed_43__h541d42fc.png,1_20250804_183142_746,seed_43,541d42fc
data/train/images/1_20250804_183142_746__seed_44__hedb95d92.png,data/train/masks/1_20250804_183142_746__seed_44__hedb95d92.png,1_20250804_183142_746,seed_44,edb95d92
data/train/images/1_20250804_183142_746__seed_45__hc12f590a.png,data/train/masks/1_20250804_183142_746__seed_45__hc12f590a.png,1_20250804_183142_746,seed_45,c12f590a
data/train/images/1_20250804_170810_371__hc16db88f.png,data/train/masks/1_20250804_170810_371__hc16db88f.png,1_20250804_170810_371,baseline,c16db88f
data/train/images/1_20250804_170810_371__seed_41__hfc604ad1.png,data/train/masks/1_20250804_170810_371__seed_41__hfc604ad1.png,1_20250804_170810_371,seed_41,fc604ad1
data/train/images/1_20250804_170810_371__seed_42__hbbb98b31.png,data/train/masks/1_20250804_170810_371__seed_42__hbbb98b31.png,1_20250804_170810_371,seed_42,bbb98b31
data/train/images/1_20250804_170810_371__seed_43__hd7eebde8.png,data/train/masks/1_20250804_170810_371__seed_43__hd7eebde8.png,1_20250804_170810_371,seed_43,d7eebde8
data/train/images/1_20250804_170810_371__seed_44__hb896deeb.png,data/train/masks/1_20250804_170810_371__seed_44__hb896deeb.png,1_20250804_170810_371,seed_44,b896deeb
data/train/images/1_20250804_170810_371__seed_45__h642beb60.png,data/train/masks/1_20250804_170810_371__seed_45__h642beb60.png,1_20250804_170810_371,seed_45,642beb60
data/train/images/1_20250804_183142_746__h56faa4c9.png,data/train/masks/1_20250804_183142_746__h56faa4c9.png,1_20250804_183142_746,baseline,56faa4c9
data/train/images/1_20250804_183142_746__seed_41__hda6ee34d.png,data/train/masks/1_20250804_183142_746__seed_41__hda6ee34d.png,1_20250804_183142_746,seed_41,da6ee34d
